ID,Time,Pickup,Dropoff,Duration,Fare
R832,42,8,28,19,17.1
R780,42,76,32,68,54.25
R592,42,32,32,2,4.5
R590,42,32,33,8,11.75
R716,42,8,32,10,8.0
R675,42,8,8,1,3.25
R894,42,6,4,19,17.75
R896,42,32,32,8,10.0
R692,42,35,8,16,17.75
R898,42,8,32,9,11.25
R706,42,8,8,1,3.25
R849,42,68,56,80,60.0
R703,42,32,32,5,8.5
R725,42,32,32,4,5.25
R808,43,32,32,3,7.75
R669,43,8,8,1,3.25
R682,43,8,56,36,41.25
R714,43,54,28,55,52.75
R946,43,32,28,4,5.5
R872,43,32,28,2,4.75
